id,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
3,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst
18,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510
376,37.0,4,91.0,68.0,2025,18.2,82,japan,mazda glc custom l
248,36.1,4,91.0,60.0,1800,16.4,78,japan,honda civic cvcc
177,23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls
63,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
246,32.8,4,78.0,52.0,1985,19.4,78,japan,mazda glc deluxe
352,29.9,4,98.0,65.0,2380,20.7,81,usa,ford escort 2h
108,20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina
90,12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham
231,15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler cordoba
334,23.7,3,70.0,100.0,2420,12.5,80,japan,mazda rx-7 gs
118,24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta
218,36.0,4,79.0,58.0,1825,18.6,77,europe,renault 5 gtl
210,19.0,6,156.0,108.0,2930,15.5,76,japan,toyota mark ii
378,38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth horizon miser
371,29.0,4,135.0,84.0,2525,16.0,82,usa,dodge aries se
280,21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac lemans v6
323,27.9,4,156.0,105.0,2800,14.4,80,usa,dodge colt
75,14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw)
245,36.1,4,98.0,66.0,1800,14.4,78,usa,ford fiesta
110,22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610
16,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet
66,17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
153,18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova
7,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii
19,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan
137,13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw)
353,33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen jetta
347,37.0,4,85.0,65.0,1975,19.4,81,japan,datsun 210 mpg
131,32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200
182,28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131
291,19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet malibu classic (sw)
384,32.0,4,91.0,67.0,1965,15.7,82,japan,honda civic (auto)
296,27.4,4,121.0,80.0,2670,15.0,79,usa,amc spirit dl
60,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega
79,26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw)
284,20.6,6,225.0,110.0,3360,16.6,79,usa,dodge aspen 6
304,37.3,4,91.0,69.0,2130,14.7,79,europe,fiat strada custom
277,16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot 604sl
157,15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air
109,21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega
17,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick
253,20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet malibu
24,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin
361,25.4,6,168.0,116.0,2900,12.6,81,japan,toyota cressida
349,34.1,4,91.0,68.0,1985,16.0,81,japan,mazda glc 4
392,27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet camaro
379,36.0,4,98.0,70.0,2125,17.3,82,usa,mercury lynx l
358,31.6,4,120.0,74.0,2635,18.3,81,japan,mazda 626
310,38.1,4,89.0,60.0,1968,18.8,80,japan,toyota corolla tercel
145,32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710
